tickers,volatility,drawdown,beta,market_cap,pe_ratio,dividend_yield,profit_margin,return_on_equity,debt_to_equity
BMY,0.015847972064081905,0.08680210639515892,0.371,99413655552,18.227612,5.06,0.11376,0.31986,293.85
AVGO,0.01809859932643265,0.14200150909944753,1.138,1360149479424,105.156364,0.83,0.22643,0.18977,166.032
BR,0.010807598029001119,0.0540841518971772,0.955,29026869248,37.160152,1.45,0.1165,0.33918,152.819
BRO,0.01079861663573548,0.07625055716242352,0.82,33974448128,28.693594,0.58,0.21214001,0.16519,59.026
BF-B,0.023213936788237112,0.17057396115336712,0.55,14630029312,16.807064,2.93,0.21862,0.23142,71.049
BLDR,0.03187731725476338,0.20922141551698747,1.695,14620028928,16.960255,2.294692874692875,0.05662,0.19621,116.805
BG,0.02269549124549102,0.1539174660081642,0.653,15489315840,9.94095,3.58,0.02131,0.09861,66.083
BXP,0.015535365523879291,0.09308666706763927,1.174,12594707456,42.355587151991614,5.48,-0.00131,0.008,209.428
CHRW,0.013598664222675222,0.08819765141708931,0.897,12061881344,24.245823,2.47,0.02927,0.3211,99.658
CDNS,0.014352243914321359,0.10174107355463814,0.988,89176883200,82.684814,2.294692874692875,0.22185,0.25921,51.864
CZR,0.028065859491020077,0.18882896603363797,2.298,6054988288,42.355587151991614,2.294692874692875,-0.0208,-0.03767,606.801
CPT,0.008795693437200967,0.045826665799288804,0.78,12255386624,105.238525,3.65,0.075679995,0.025999999,79.752
CPB,0.017071946590174268,0.0910912679166795,0.08,9856178176,22.04,4.68,0.0444,0.1166,187.629
COF,0.013184868585505403,0.1271105942038015,1.149,138234331136,617.60004,1.1,0.17218,0.08028,145.8182209821429
CAH,0.012846146287757263,0.08689972509967413,0.689,37778223104,24.770235,1.29,0.0069999998,0.3116597039292111,145.8182209821429
KMX,0.02429532891849684,0.1519491413493251,1.379,9108620288,16.766575,2.294692874692875,0.01948,0.08969,309.961
CCL,0.016610428155095495,0.0,2.609,40784867328,15.748692,2.294692874692875,0.09722,0.30021998,286.33
CARR,0.012390127888399698,0.12889559288092595,1.312,68132466688,53.24667,1.13,0.2579,0.11125,81.85
CAT,0.011928185342879614,0.1701537389994984,1.38,201619341312,20.932129,1.41,0.15712,0.55646,213.547
CBOE,0.010273518037286643,0.09059753042886227,0.424,25664632832,32.122543,1.05,0.18604,0.19018,36.019
CBRE,0.013572817175576537,0.09342658811320559,1.304,43490537472,44.614677,2.294692874692875,0.02735,0.11921,100.422
CDW,0.013711772410536996,0.07022531500253451,0.927,23942967296,22.530361,1.38,0.05095,0.48707,272.795
COR,0.011184703067617307,0.05242970364152893,0.568,56368578560,33.699306,0.75,0.00546,1.4178,827.73
CNC,0.07644775548153451,0.5166566916656712,0.442,13624370176,4.0383477,2.294692874692875,0.02253,0.12527001,65.384
CNP,0.009456639671803272,0.05826263363437721,0.562,24614371328,25.479729,2.37,0.10802,0.092209995,202.529
CF,0.0216652690071208,0.11504684357262616,0.941,15207878656,12.416667,2.13,0.21798,0.20794001,45.169
CRL,0.027297348836323513,0.19715500901195054,1.498,8873733120,42.355587151991614,2.294692874692875,-0.00489,-0.00671,92.213
SCHW,0.010131826051796458,0.09236363002232142,0.926,174365523968,25.79704,1.14,0.33676997,0.3116597039292111,110.198
CHTR,0.018556508664130254,0.10664245127764538,1.078,53295849472,10.886966,2.294692874692875,0.094189994,0.33116,465.632
CVX,0.013027521698807092,0.07803744322779346,0.803,314561003520,17.701374,4.47,0.08026,0.10079,19.777
CMG,0.030799438302907694,0.21600106947759543,1.079,61526790144,40.41124,2.294692874692875,0.13593,0.45574,132.72
CB,0.012150049470639645,0.06754800235317787,0.537,108037128192,11.969965,1.39,0.15025,0.12855,29.874
CHD,0.00942243977855798,0.04359232857054322,0.501,24015699968,41.851933,1.22,0.09516,0.13354999,52.837
CI,0.01604737693107232,0.1183947639617526,0.454,79138439168,16.52203,1.98,0.019709999,0.13206,75.34
CINF,0.01262572490187705,0.048211912445674666,0.768,23084537856,16.088236,2.31,0.13193,0.10974,6.4
CTAS,0.013010675355019777,0.049351309285882404,1.042,90207969280,50.879543,0.71,0.17527,0.40269002,56.665
CSCO,0.009520613863362365,0.08163627795102868,0.899,270052196352,27.834694,2.39,0.17604,0.21356001,66.932
C,0.014828571830947766,0.20833550193592273,1.329,177564008448,14.247416,2.5,0.19334,0.06759,145.8182209821429
CFG,0.014353723282879708,0.19145948341138244,1.089,21515110400,15.157012,3.37,0.22087,0.064840004,145.8182209821429
CLX,0.014752433372688847,0.10210751949637518,0.504,16152921088,23.528723,3.71,0.09887,3.18652,1549.474
CME,0.007989584753194732,0.05322944143378944,0.455,99848265728,26.796904,1.82,0.57806,0.13387,14.045
CMS,0.008762575169556315,0.0680891819999382,0.37,21851009024,21.612427,2.98,0.131,0.11234,190.138
